"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"1",4,1,-1,3,4,4,1,1,23,6,0,2019,3
"2",17,1,-1,0,0,6,1,1,23,10,0,2019,3
"3",13,1,-1,3,4,7,1,1,23,5,0,2019,3
"4",16,1,-1,0,0,8,1,1,23,2,0,2019,3
"5",8,1,-1,3,4,8,1,1,23,2,0,2019,3
"6",17,1,-1,0,0,13,1,1,23,6,0,2019,3
"7",11,1,-1,4,4,15,1,1,23,12,0,2019,3
"8",14,1,-1,0,0,18,1,1,23,12,0,2019,3
"9",14,1,-1,0,0,18,1,1,23,12,0,2019,3
"10",15,1,-1,0,0,20,1,1,23,9,0,2019,3
"11",11,1,-1,7,7,21,1,1,23,12,0,2019,3
"12",14,1,-1,10,3,26,1,1,23,12,0,2019,3
"13",16,1,-1,0,0,26,1,1,23,12,0,2019,3
"14",10,1,-1,0,0,27,1,1,23,14,0,2019,3
"15",9,1,-1,3,1,27,1,1,23,14,0,2019,3
"16",4,1,-1,0,0,27,1,1,23,14,0,2019,3
"17",3,1,-1,0,0,27,1,1,23,14,0,2019,3
"18",16,1,-1,0,0,29,1,1,23,4,0,2019,3
"19",9,1,-1,0,0,30,1,1,23,8,0,2019,3
"20",7,6,-1,7,7,30,1,1,23,8,0,2019,3
"21",3,1,-1,0,0,30,1,1,23,8,0,2019,3
"22",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"23",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"24",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"25",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"26",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"27",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"28",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"29",0,1,-1,0,0,30,1,1,23,8,0,2019,3
"30",15,1,-1,0,0,31,1,1,23,1,0,2019,3
"31",12,1,-1,1,4,32,1,1,23,15,0,2019,3
"32",12,1,-1,5,4,32,1,1,23,15,0,2019,3
"33",17,1,-1,0,0,33,1,1,23,7,0,2019,3
"34",17,1,-1,0,0,35,1,1,23,4,0,2019,3
"35",7,1,-1,4,4,36,1,1,23,7,0,2019,3
"36",6,1,-1,0,0,36,1,1,23,7,0,2019,3
"37",0,1,-1,0,0,36,1,1,23,7,0,2019,3
"38",0,1,-1,0,0,36,1,1,23,7,0,2019,3
"39",10,1,-1,5,1,37,1,1,23,14,0,2019,3
"40",12,1,-1,2,4,37,1,1,23,14,0,2019,3
"41",0,1,-1,0,0,37,1,1,23,14,0,2019,3
"42",0,2,-1,0,0,37,1,1,23,14,0,2019,3
"43",0,2,-1,0,0,37,1,1,23,14,0,2019,3
"44",7,1,-1,2,4,38,1,1,23,14,0,2019,3
"45",8,1,-1,1,4,38,1,1,23,14,0,2019,3
"46",0,1,-1,0,0,38,1,1,23,14,0,2019,3
"47",11,1,-1,10,4,41,1,1,23,15,0,2019,3
"48",11,1,-1,10,4,41,1,1,23,15,0,2019,3
"49",16,1,-1,0,0,42,1,1,23,2,0,2019,3
"50",8,1,-1,0,0,47,1,1,23,9,0,2019,3
"51",8,1,-1,0,0,47,1,1,23,9,0,2019,3
"52",1,1,-1,0,0,47,1,1,23,9,0,2019,3
"53",12,1,-1,1,3,51,1,1,23,15,0,2019,3
"54",13,1,-1,9,4,51,1,1,23,15,0,2019,3
"55",8,1,-1,2,7,52,1,1,23,12,0,2019,3
"56",12,1,-1,1,4,54,1,1,23,14,0,2019,3
"57",13,1,-1,7,4,54,1,1,23,14,0,2019,3
"58",17,1,-1,0,0,56,1,1,23,12,0,2019,3
"59",14,1,-1,5,2,57,1,1,23,15,0,2019,3
"60",15,1,-1,9,3,57,1,1,23,15,0,2019,3
"61",10,1,-1,2,4,59,1,1,23,13,0,2019,3
"62",12,1,-1,8,4,59,1,1,23,13,0,2019,3
"63",7,1,-1,0,0,60,1,1,23,14,0,2019,3
"64",7,1,-1,4,4,60,1,1,23,14,0,2019,3
"65",0,1,-1,0,0,60,1,1,23,14,0,2019,3
"66",0,1,-1,0,0,60,1,1,23,14,0,2019,3
"67",9,1,-1,0,0,65,1,1,23,6,0,2019,3
"68",2,1,-1,0,0,65,1,1,23,6,0,2019,3
"69",0,1,-1,0,0,65,1,1,23,6,0,2019,3
"70",7,1,-1,7,7,66,1,1,23,7,0,2019,3
"71",7,3,-1,4,4,66,1,1,23,7,0,2019,3
"72",0,1,-1,0,0,66,1,1,23,7,0,2019,3
"73",9,1,-1,6,4,70,1,1,23,10,0,2019,3
"74",1,1,-1,0,0,70,1,1,23,10,0,2019,3
"75",7,1,-1,0,0,70,1,1,23,10,0,2019,3
"76",16,1,-1,3,4,71,1,1,23,8,0,2019,3
"77",17,1,-1,0,0,72,1,1,23,11,0,2019,3
"78",8,1,-1,3,4,73,1,1,23,7,0,2019,3
"79",1,1,-1,0,0,73,1,1,23,7,0,2019,3
"80",0,1,-1,0,0,73,1,1,23,7,0,2019,3
"81",0,1,-1,0,0,73,1,1,23,7,0,2019,3
"82",16,1,-1,0,0,74,1,1,23,9,0,2019,3
"83",17,1,-1,0,0,74,1,1,23,9,0,2019,3
"84",8,1,-1,2,3,75,1,1,23,15,0,2019,3
"85",6,1,-1,3,4,75,1,1,23,15,0,2019,3
"86",11,1,-1,1,3,76,1,1,23,15,0,2019,3
"87",11,1,-1,1,5,76,1,1,23,15,0,2019,3
"88",0,1,-1,0,0,76,1,1,23,15,0,2019,3
"89",11,1,-1,3,3,77,1,1,23,13,0,2019,3
"90",10,1,-1,4,4,77,1,1,23,13,0,2019,3
"91",12,1,-1,8,6,80,1,1,23,14,0,2019,3
"92",12,1,-1,0,0,80,1,1,23,14,0,2019,3
"93",15,1,-1,0,0,90,1,1,23,13,0,2019,3
"94",17,1,-1,9,4,90,1,1,23,13,0,2019,3
"95",6,1,-1,1,4,97,1,1,23,13,0,2019,3
"96",0,1,-1,0,0,97,1,1,23,13,0,2019,3
"97",7,1,-1,2,2,97,1,1,23,13,0,2019,3
"98",3,1,-1,0,0,97,1,1,23,13,0,2019,3
"99",16,1,-1,9,3,98,1,1,23,12,0,2019,3
"100",15,1,-1,0,0,101,1,1,23,4,0,2019,3
"101",15,1,-1,1,5,101,1,1,23,4,0,2019,3
"102",5,1,-1,0,0,101,1,1,23,4,0,2019,3
"103",12,1,-1,0,0,112,1,1,23,5,0,2019,3
"104",16,1,-1,0,0,113,1,1,23,11,0,2019,3
"105",15,1,-1,0,0,113,1,1,23,11,0,2019,3
"106",11,1,-1,8,2,114,1,1,23,13,0,2019,3
"107",11,1,-1,3,3,114,1,1,23,13,0,2019,3
"108",14,1,-1,0,0,116,1,1,23,12,0,2019,3
"109",15,1,-1,0,0,116,1,1,23,12,0,2019,3
"110",15,1,-1,1,7,117,1,1,23,10,0,2019,3
"111",13,1,-1,1,7,118,1,1,23,14,0,2019,3
"112",12,1,-1,5,4,118,1,1,23,14,0,2019,3
"113",0,1,-1,0,0,118,1,1,23,14,0,2019,3
"114",10,1,-1,0,0,119,1,1,23,11,0,2019,3
"115",9,1,-1,2,4,119,1,1,23,11,0,2019,3
"116",0,1,-1,0,0,119,1,1,23,11,0,2019,3
"117",0,1,-1,0,0,119,1,1,23,11,0,2019,3
"118",9,1,-1,9,7,120,1,1,23,14,0,2019,3
"119",8,1,-1,7,4,120,1,1,23,14,0,2019,3
"120",1,1,-1,0,0,120,1,1,23,14,0,2019,3
"121",0,1,-1,0,0,120,1,1,23,14,0,2019,3
"122",0,1,-1,0,0,120,1,1,23,14,0,2019,3
"123",11,1,-1,9,4,121,1,1,23,12,0,2019,3
"124",11,1,-1,3,4,121,1,1,23,12,0,2019,3
"125",7,1,-1,6,7,122,1,1,23,11,0,2019,3
"126",11,1,-1,5,1,125,1,1,23,10,0,2019,3
"127",12,1,-1,0,0,125,1,1,23,10,0,2019,3
"128",17,1,-1,0,0,125,1,1,23,10,0,2019,3
"129",17,1,-1,2,7,126,1,1,23,15,0,2019,3
"130",12,1,-1,3,4,126,1,1,23,15,0,2019,3
"131",5,1,-1,2,5,126,1,1,23,15,0,2019,3
"132",4,1,-1,3,7,126,1,1,23,15,0,2019,3
"133",2,1,-1,0,0,126,1,1,23,15,0,2019,3
"134",0,1,-1,0,0,126,1,1,23,15,0,2019,3
"135",11,1,-1,5,4,134,1,1,23,11,0,2019,3
"136",10,1,-1,8,7,134,1,1,23,11,0,2019,3
"137",9,1,-1,0,0,135,1,1,23,12,0,2019,3
"138",9,1,-1,1,7,135,1,1,23,12,0,2019,3
"139",2,1,-1,0,0,135,1,1,23,12,0,2019,3
"140",0,1,-1,0,0,135,1,1,23,12,0,2019,3
"141",9,1,-1,10,4,136,1,1,23,14,0,2019,3
"142",0,1,-1,0,0,136,1,1,23,14,0,2019,3
"143",0,1,-1,0,0,136,1,1,23,14,0,2019,3
"144",8,1,-1,2,7,136,1,1,23,14,0,2019,3
"145",8,1,-1,0,0,138,1,1,23,14,0,2019,3
"146",8,1,-1,6,7,138,1,1,23,14,0,2019,3
"147",0,1,-1,0,0,138,1,1,23,14,0,2019,3
"148",0,1,-1,0,0,138,1,1,23,14,0,2019,3
"149",0,1,-1,0,0,138,1,1,23,14,0,2019,3
"150",9,1,-1,10,6,139,1,1,23,11,0,2019,3
"151",0,1,-1,0,0,139,1,1,23,11,0,2019,3
"152",0,1,-1,0,0,139,1,1,23,11,0,2019,3
"153",0,1,-1,0,0,139,1,1,23,11,0,2019,3
"154",8,1,-1,3,4,143,1,1,23,11,0,2019,3
"155",8,1,-1,7,4,143,1,1,23,11,0,2019,3
"156",2,1,-1,0,0,143,1,1,23,11,0,2019,3
"157",0,1,-1,0,0,143,1,1,23,11,0,2019,3
"158",0,1,-1,0,0,143,1,1,23,11,0,2019,3
"159",8,1,-1,0,0,144,1,1,23,13,0,2019,3
"160",2,1,-1,3,2,144,1,1,23,13,0,2019,3
"161",0,1,-1,0,0,144,1,1,23,13,0,2019,3
"162",10,1,-1,1,4,144,1,1,23,13,0,2019,3
"163",9,1,-1,2,7,145,1,1,23,15,0,2019,3
"164",9,5,-1,2,7,145,1,1,23,15,0,2019,3
"165",10,1,-1,1,4,146,1,1,23,16,0,2019,3
"166",8,1,-1,5,4,146,1,1,23,16,0,2019,3
"167",2,1,-1,10,4,146,1,1,23,16,0,2019,3
"168",0,1,-1,0,0,146,1,1,23,16,0,2019,3
"169",0,1,-1,0,0,146,1,1,23,16,0,2019,3
